email_text,label
"DEAR WINNER, CRITICAL: YOUR SOCIAL SECURITY NUMBER HAS BEEN COMPROMISED! CALL OUR TOLL-FREE NUMBER IMMEDIATELY TO FREEZE YOUR CREDIT. FAILURE TO ACT NOW COULD RESULT IN IDENTITY THEFT! THIS IS NOT SPAM. 100% GUARANTEED!",spam
"Hi, Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Best,",ham
"Dear Friend, Your PayPal account has been limited due to suspicious activity. Please log in through the secure link below to restore full access. Ignoring this notice will result in permanent account closure. Reply with YES to confirm. Reply ASAP!",spam
"Hey, Hey, I saw the photos from your vacation. Looks like you had an amazing time! Where exactly did you stay? I'd love to plan a similar trip. We should catch up soon and you can tell me all about it. I appreciate your help. Take care,",ham
"Hey, Good afternoon. The server migration is scheduled for this Saturday at 2 AM. Expected downtime is approximately 4 hours. I'll send out notifications to all affected users. Best regards,",ham
"Attention! You are the lucky winner of our weekly sweepstakes! A sum of $250,000 has been allocated to your name. Click here to verify your identity and receive your funds within 48 hours. This is not a joke!",spam
"Hello, Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Best,",ham
"Hello everyone, Hey, did you see the game last night? What an incredible comeback! That last-minute goal was unbelievable. We should watch the next match together at the sports bar. Take care,",ham
"CONGRATULATIONS! YOU HAVE BEEN SELECTED AS THE WINNER OF OUR INTERNATIONAL LOTTERY. CLICK THE LINK BELOW TO CLAIM YOUR PRIZE OF $1,000,000. THIS OFFER EXPIRES IN 24 HOURS SO ACT FAST! YOU HAVE BEEN SPECIALLY SELECTED. ACT IMMEDIATELY!",spam
"Hi, I wanted to share this interesting article about sustainable energy. It discusses how solar panel efficiency has improved by 40% in the last decade. Thought you might find it relevant for your research. Take care,",ham
"DEAR LUCKY ONE, URGENT: YOUR EMAIL HAS BEEN RANDOMLY SELECTED FOR A CASH PRIZE OF $500,000. TO CLAIM YOUR WINNINGS, REPLY WITH YOUR FULL NAME, ADDRESS, AND BANK DETAILS IMMEDIATELY. DO NOT SHARE THIS EMAIL WITH ANYONE. RISK-FREE TRIAL. 100% GUARANTEED!",spam
"Hey, Hey, I've pushed the latest changes to the feature branch. Could you please review the pull request when you get a chance? The main updates are in the authentication module. Feel free to call me. Best,",ham
BUY DISCOUNT MEDICATIONS ONLINE! UP TO 80% OFF ON ALL PRESCRIPTIONS. NO PRESCRIPTION NEEDED. FAST DISCREET SHIPPING WORLDWIDE. ORDER NOW AND GET FREE BONUS PILLS! RISK-FREE TRIAL. ACT IMMEDIATELY!,spam
"Good morning, Good news! The community garden project has been approved by the city council. We'll be starting the planting season next month. Volunteers can sign up at the community center. Regards,",ham
"Hey there, Hey, do you have the notes from yesterday's lecture? I had to leave early for a doctor's appointment. I'd really appreciate it if you could share them. Feel free to call me. See you soon,",ham
"Hi there, Hey! How are you doing? It's been a while since we caught up. Want to grab coffee this weekend? Let me know what works for you. Let's discuss this further. Regards,",ham
"BITCOIN ALERT: Invest $250 today and earn $10,000 by next week! Our AI-powered trading bot does all the work for you. Don't miss this once-in-a-lifetime opportunity! Unsubscribe by clicking here. Limited time only!",spam
"DEAR USER, YOUR PAYPAL ACCOUNT HAS BEEN LIMITED DUE TO SUSPICIOUS ACTIVITY. PLEASE LOG IN THROUGH THE SECURE LINK BELOW TO RESTORE FULL ACCESS. IGNORING THIS NOTICE WILL RESULT IN PERMANENT ACCOUNT CLOSURE. UNSUBSCRIBE BY CLICKING HERE. ACT IMMEDIATELY! *?!",spam
"Hi there, Hi, I wanted to share this interesting article about sustainable energy. It discusses how solar panel efficiency has improved by 40% in the last decade. Thought you might find it relevant for your research. Let's discuss this further. Regards,",ham
"Hello, Hey, I found that old photo album we were looking for. There are some really great pictures from our college days in there. I'll bring it over when I visit next time. See you at the meeting. Best,",ham
"Hello, Thank you for your order! Your package has been shipped and is expected to arrive by Thursday. You can track your delivery using the link in your account. If you have any questions, please contact our support team. Talk soon,",ham
"Hey, Hi team, just a reminder that we have our weekly standup meeting tomorrow at 10 AM. Please prepare your status updates and any blockers you'd like to discuss. See you all in the conference room. Looking forward to hearing from you. Best,",ham
"DEAR CUSTOMER, ALERT: YOUR BANK ACCOUNT HAS BEEN COMPROMISED. CLICK HERE IMMEDIATELY TO VERIFY YOUR IDENTITY AND SECURE YOUR ACCOUNT. FAILURE TO ACT WITHIN 24 HOURS WILL RESULT IN ACCOUNT SUSPENSION. LIMITED TIME ONLY!!!",spam
"Hello everyone, Hi, I wanted to share this interesting article about sustainable energy. It discusses how solar panel efficiency has improved by 40% in the last decade. Thought you might find it relevant for your research. Looking forward to hearing from you. Take care,",ham
"Dear team, Reminder: The office will be closed next Monday for the holiday. Please make sure all urgent tasks are completed by Friday. Enjoy the long weekend! Looking forward to hearing from you. Take care,",ham
"Hello, Dear students, the midterm exam will cover chapters 1 through 7. I've uploaded a practice test on the course portal. Review sessions will be held next Tuesday and Thursday. Don't hesitate to reach out. Best,",ham
"Hey there, Hi class, the assignment deadline has been extended to next Wednesday. Please make sure to include proper citations and references. Office hours are available on Monday if you need help. Let's discuss this further. Best regards,",ham
"To Whom It May Concern, Secret investment strategy revealed! Wall Street insiders don't want you to know this. Turn $100 into $50,000 in just 30 days. Click here to learn the method that's making ordinary people rich! Reply with YES to confirm. Limited time only!",spam
"To Whom It May Concern, Your email account will be DELETED in 24 hours unless you verify. Click the verification link below to confirm your identity. This is an automated message from the IT security team.",spam
GREETINGS! ALERT: YOUR BANK ACCOUNT HAS BEEN COMPROMISED. CLICK HERE IMMEDIATELY TO VERIFY YOUR IDENTITY AND SECURE YOUR ACCOUNT. FAILURE TO ACT WITHIN 24 HOURS WILL RESULT IN ACCOUNT SUSPENSION. DON'T WAIT!,spam
"Attention!!! ATTENTION: You have an unclaimed tax refund of $3,247.00!!! File your claim online within 48 hours or the refund will be forfeited. Click here to submit your banking details for direct deposit. Guaranteed results. Hurry!!!",spam
"Good morning, Hi team, just a reminder that we have our weekly standup meeting tomorrow at 10 AM. Please prepare your status updates and any blockers you'd like to discuss. See you all in the conference room. Don't hesitate to reach out. Best regards,",ham
"To Whom It May Concern, FINAL WARNING: Your computer has been infected with 47 viruses! Download our security software immediately to protect your data. Click here for a FREE emergency scan right now! No credit card required.",spam
"Dear Lucky One, Amazing anti-aging cream turns back the clock 20 years!!! Dermatologists hate this one simple trick. Order now and get 50% off plus free shipping!!!",spam
"Hi there, Hey, just finished reading that book you recommended. It was fantastic! The plot twist at the end completely caught me off guard. Any other recommendations? Talk soon,",ham
"Hey, Hey! How are you doing? It's been a while since we caught up. Want to grab coffee this weekend? Let me know what works for you. Thanks,",ham
"Hey, Hey, did you see the game last night? What an incredible comeback! That last-minute goal was unbelievable. We should watch the next match together at the sports bar. Don't hesitate to reach out. Thanks,",ham
"Dear Lucky One, Dear Winner, we are pleased to inform you that your email won $750,000 in our annual draw. Send us your personal details to process the payment. This is a one-time opportunity, don't let it slip away!",spam
"Dear team, Hi all, we're organizing a team building event next Thursday. It'll be an escape room challenge followed by dinner. Please RSVP by Wednesday so I can finalize the reservation. Thanks,",ham
"Hello, Your PayPal account has been limited due to suspicious activity. Please log in through the secure link below to restore full access. Ignoring this notice will result in permanent account closure. Doctor recommended. Click here now!",spam
"HELLO, SECRET INVESTMENT STRATEGY REVEALED!!! WALL STREET INSIDERS DON'T WANT YOU TO KNOW THIS. TURN $100 INTO $50,000 IN JUST 30 DAYS. CLICK HERE TO LEARN THE METHOD THAT'S MAKING ORDINARY PEOPLE RICH!!! CALL OUR TOLL-FREE NUMBER NOW. DON'T WAIT!!!",spam
"Hello, Get bigger muscles in just 7 days with our new supplement! Used by professional athletes worldwide. Buy 2 bottles get 1 FREE. No side effects guaranteed! Call our toll-free number now. Limited time only!",spam
"Hi there, Hi, I wanted to follow up on our discussion about the new project timeline. I've updated the Gantt chart with the revised milestones. Let me know if the dates work for your team. Don't hesitate to reach out.",ham
"Hey, Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Thanks for your time.",ham
"Hi, Reminder: The office will be closed next Monday for the holiday. Please make sure all urgent tasks are completed by Friday. Enjoy the long weekend! Hope this helps. See you soon,",ham
"DEAR FRIEND, YOUR PAYPAL ACCOUNT HAS BEEN LIMITED DUE TO SUSPICIOUS ACTIVITY. PLEASE LOG IN THROUGH THE SECURE LINK BELOW TO RESTORE FULL ACCESS. IGNORING THIS NOTICE WILL RESULT IN PERMANENT ACCOUNT CLOSURE. REPLY ASAP!",spam
"Hey, just finished reading that book you recommended. It was fantastic! The plot twist at the end completely caught me off guard. Any other recommendations? I appreciate your help. Best regards,",ham
"Hello everyone, Hi, I wanted to follow up on our discussion about the new project timeline. I've updated the Gantt chart with the revised milestones. Let me know if the dates work for your team. I appreciate your help. Regards,",ham
"Good morning, Hi, your appointment with Dr. Smith is confirmed for next Monday at 2:30 PM. Please arrive 15 minutes early to complete the paperwork. If you need to reschedule, call us at least 24 hours in advance. See you at the meeting. See you soon,",ham
"Hello everyone, Thank you for your order! Your package has been shipped and is expected to arrive by Thursday. You can track your delivery using the link in your account. If you have any questions, please contact our support team. See you at the meeting. Best,",ham
Hey! How are you doing? It's been a while since we caught up. Want to grab coffee this weekend? Let me know what works for you.,ham
"Hey, Here's your weekly digest of top stories. The tech industry saw major developments with new AI regulations. Read the full articles on our website. Regards,",ham
"Hey, Hey, just finished reading that book you recommended. It was fantastic! The plot twist at the end completely caught me off guard. Any other recommendations? Cheers,",ham
"Hey there, Hey, did you see the game last night? What an incredible comeback! That last-minute goal was unbelievable. We should watch the next match together at the sports bar. Hope this helps. Take care,",ham
"Dear Friend, CRITICAL: Your social security number has been compromised! Call our toll-free number immediately to freeze your credit. Failure to act now could result in identity theft! Hurry!",spam
"Hey there, Hey, thanks for the recipe you sent last week. I tried making it and it turned out great! The kids absolutely loved it. Do you have any other easy dinner ideas?",ham
"Hi there, Dear member, our gym will be undergoing renovations starting next month. The pool area will be closed for two weeks but all other facilities remain open. We apologize for any inconvenience. I appreciate your help. Regards,",ham
"Hello everyone, Hi, I'm writing to confirm our dinner reservation for Friday at 7 PM. The restaurant is at 123 Main Street. They said they can accommodate dietary restrictions, just let them know in advance. Cheers,",ham
"DEAR FRIEND, CONGRATULATIONS! YOU HAVE BEEN SELECTED AS THE WINNER OF OUR INTERNATIONAL LOTTERY. CLICK THE LINK BELOW TO CLAIM YOUR PRIZE OF $1,000,000. THIS OFFER EXPIRES IN 24 HOURS SO ACT FAST! GUARANTEED RESULTS. REPLY ASAP!",spam
"Dear Valued Member, Dear Winner, we are pleased to inform you that your email won $750,000 in our annual draw. Send us your personal details to process the payment. This is a one-time opportunity, don't let it slip away!!! Forward this to 10 friends. Limited time only!!! $!*",spam
"Hello everyone, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! Cheers,",ham
"Good morning, Good news! The community garden project has been approved by the city council. We'll be starting the planting season next month. Volunteers can sign up at the community center. Cheers,",ham
"To Whom It May Concern, CONGRATULATIONS!!! You've been chosen to receive a brand new iPhone 15 Pro Max absolutely FREE!!! Just complete a short survey and provide your shipping address. Hurry, only 10 units left!!! This offer won't last long. Reply ASAP!!!",spam
"DEAR WINNER, CRITICAL: YOUR SOCIAL SECURITY NUMBER HAS BEEN COMPROMISED! CALL OUR TOLL-FREE NUMBER IMMEDIATELY TO FREEZE YOUR CREDIT. FAILURE TO ACT NOW COULD RESULT IN IDENTITY THEFT! 100% GUARANTEED!",spam
"Dear Friend, Your email account will be DELETED in 24 hours unless you verify. Click the verification link below to confirm your identity. This is an automated message from the IT security team. You have been specially selected. Reply ASAP!",spam
"Hello everyone, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! Thanks,",ham
"Hi, Hi, I'm dropping off the kids at school tomorrow morning. Can you pick them up at 3 PM? I have a dentist appointment that I can't reschedule. Talk soon,",ham
"Dear team, Good afternoon. The server migration is scheduled for this Saturday at 2 AM. Expected downtime is approximately 4 hours. I'll send out notifications to all affected users. Feel free to call me. Cheers,",ham
"Good morning, Hi, I'm dropping off the kids at school tomorrow morning. Can you pick them up at 3 PM? I have a dentist appointment that I can't reschedule. Thanks,",ham
"Greetings!!! Congratulations!!! You have been selected as the winner of our international lottery. Click the link below to claim your prize of $1,000,000. This offer expires in 24 hours so act fast!!! As seen on TV. Hurry!!! *$!?",spam
"DEAR LUCKY ONE, URGENT BUSINESS PROPOSAL: I AM DR. JAMES FROM NIGERIA. I HAVE $15.5 MILLION THAT I NEED TO TRANSFER OUT OF THE COUNTRY. I WILL GIVE YOU 30% OF THE TOTAL IF YOU HELP ME. REPLY FOR DETAILS. YOU HAVE BEEN SPECIALLY SELECTED. ACT IMMEDIATELY!",spam
"Hey there, Hi all, we're organizing a team building event next Thursday. It'll be an escape room challenge followed by dinner. Please RSVP by Wednesday so I can finalize the reservation. Take care,",ham
"Greetings! BREAKTHROUGH: Scientists discover miracle cure for baldness! Regrow a full head of hair in just 2 weeks. Order your FREE trial bottle today, just pay shipping! 100% guaranteed!",spam
"Hey, Hi class, the assignment deadline has been extended to next Wednesday. Please make sure to include proper citations and references. Office hours are available on Monday if you need help. Regards,",ham
"Hello, Hey, just finished reading that book you recommended. It was fantastic! The plot twist at the end completely caught me off guard. Any other recommendations? Regards,",ham
"Hey, Hi, I'm writing to confirm our dinner reservation for Friday at 7 PM. The restaurant is at 123 Main Street. They said they can accommodate dietary restrictions, just let them know in advance. Thanks,",ham
"Dear team, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! I appreciate your help. See you soon,",ham
"Dear Lucky One, Secret investment strategy revealed! Wall Street insiders don't want you to know this. Turn $100 into $50,000 in just 30 days. Click here to learn the method that's making ordinary people rich! Forward this to 10 friends. Limited time only!",spam
"Hello, Hey, just finished reading that book you recommended. It was fantastic! The plot twist at the end completely caught me off guard. Any other recommendations?",ham
"Greetings! URGENT: Your email has been randomly selected for a cash prize of $500,000. To claim your winnings, reply with your full name, address, and bank details immediately. Do not share this email with anyone. Act immediately!",spam
"Hey there, Dear member, our gym will be undergoing renovations starting next month. The pool area will be closed for two weeks but all other facilities remain open. We apologize for any inconvenience. Let me know your thoughts.",ham
"Hello, Get bigger muscles in just 7 days with our new supplement! Used by professional athletes worldwide. Buy 2 bottles get 1 FREE. No side effects guaranteed! This is not a joke!",spam
"DEAR FRIEND, YOUR PAYPAL ACCOUNT HAS BEEN LIMITED DUE TO SUSPICIOUS ACTIVITY. PLEASE LOG IN THROUGH THE SECURE LINK BELOW TO RESTORE FULL ACCESS. IGNORING THIS NOTICE WILL RESULT IN PERMANENT ACCOUNT CLOSURE. CALL OUR TOLL-FREE NUMBER NOW.",spam
"Hi there, Hey! How are you doing? It's been a while since we caught up. Want to grab coffee this weekend? Let me know what works for you. Let's discuss this further. Best regards,",ham
"Dear Friend, Secret investment strategy revealed!!! Wall Street insiders don't want you to know this. Turn $100 into $50,000 in just 30 days. Click here to learn the method that's making ordinary people rich!!! This is NOT spam. Limited time only!!!",spam
"Hello, Hi, I'm writing to confirm our dinner reservation for Friday at 7 PM. The restaurant is at 123 Main Street. They said they can accommodate dietary restrictions, just let them know in advance. Regards,",ham
"Dear Customer, You've been pre-approved for a $50,000 credit line! No credit check required. Apply now by clicking the link below. Limited spots available, first come first served! Hurry!",spam
"Hello, Hi, I'm dropping off the kids at school tomorrow morning. Can you pick them up at 3 PM? I have a dentist appointment that I can't reschedule. Best,",ham
"DEAR LUCKY ONE, DEAR WINNER, WE ARE PLEASED TO INFORM YOU THAT YOUR EMAIL WON $750,000 IN OUR ANNUAL DRAW. SEND US YOUR PERSONAL DETAILS TO PROCESS THE PAYMENT. THIS IS A ONE-TIME OPPORTUNITY, DON'T LET IT SLIP AWAY!!! GUARANTEED RESULTS. CLICK HERE NOW!!!",spam
"Good morning, Hi, the landlord sent an email about the building maintenance schedule. They'll be fixing the elevator on Tuesday and the water will be off for 2 hours on Wednesday. Just wanted to give you a heads up. Looking forward to hearing from you. Best regards,",ham
"DEAR VALUED MEMBER, GET A FREE LAPTOP TODAY! NO PURCHASE NECESSARY. SIMPLY CLICK THE LINK AND ENTER YOUR EMAIL TO QUALIFY. THIS EXCLUSIVE OFFER IS AVAILABLE FOR A LIMITED TIME ONLY. CALL OUR TOLL-FREE NUMBER NOW. THIS IS NOT A JOKE!",spam
"DEAR VALUED MEMBER, EARN PASSIVE INCOME OF $3,000 WEEKLY WITH OUR AUTOMATED FOREX SYSTEM. NO TRADING EXPERIENCE REQUIRED. START WITH JUST $50. JOIN OVER 100,000 SUCCESSFUL TRADERS WORLDWIDE! THIS IS NOT A JOKE!",spam
"Hello everyone, Good morning everyone. The quarterly report is ready for review. I've attached the PDF to this email. Please share your feedback by Friday end of day. Best regards,",ham
"HELLO, YOUR PAYPAL ACCOUNT HAS BEEN LIMITED DUE TO SUSPICIOUS ACTIVITY. PLEASE LOG IN THROUGH THE SECURE LINK BELOW TO RESTORE FULL ACCESS. IGNORING THIS NOTICE WILL RESULT IN PERMANENT ACCOUNT CLOSURE. HURRY!",spam
ALERT: Your bank account has been compromised. Click here immediately to verify your identity and secure your account. Failure to act within 24 hours will result in account suspension. Guaranteed results. 100% guaranteed! $?$,spam
"Hey, I saw the photos from your vacation. Looks like you had an amazing time! Where exactly did you stay? I'd love to plan a similar trip. We should catch up soon and you can tell me all about it. See you soon,",ham
"Dear Customer, Lose weight fast with our revolutionary diet pill!!! Celebrities are raving about this amazing product. Get your 30-day supply FREE. Limited stock available!!! This is not a joke!!!",spam
"Dear team, Hey, do you have the notes from yesterday's lecture? I had to leave early for a doctor's appointment. I'd really appreciate it if you could share them. Take care,",ham
"TO WHOM IT MAY CONCERN, ALERT: YOUR BANK ACCOUNT HAS BEEN COMPROMISED. CLICK HERE IMMEDIATELY TO VERIFY YOUR IDENTITY AND SECURE YOUR ACCOUNT. FAILURE TO ACT WITHIN 24 HOURS WILL RESULT IN ACCOUNT SUSPENSION. GUARANTEED RESULTS. LIMITED TIME ONLY!!!",spam
"Good morning, Hi, I wanted to share this interesting article about sustainable energy. It discusses how solar panel efficiency has improved by 40% in the last decade. Thought you might find it relevant for your research. Best,",ham
"DEAR VALUED MEMBER, EARN PASSIVE INCOME OF $3,000 WEEKLY WITH OUR AUTOMATED FOREX SYSTEM. NO TRADING EXPERIENCE REQUIRED. START WITH JUST $50. JOIN OVER 100,000 SUCCESSFUL TRADERS WORLDWIDE!!! LIMITED TIME ONLY!!!",spam
"DEAR USER, SECRET INVESTMENT STRATEGY REVEALED! WALL STREET INSIDERS DON'T WANT YOU TO KNOW THIS. TURN $100 INTO $50,000 IN JUST 30 DAYS. CLICK HERE TO LEARN THE METHOD THAT'S MAKING ORDINARY PEOPLE RICH! CLICK HERE NOW!",spam
"Dear Customer, Amazing anti-aging cream turns back the clock 20 years! Dermatologists hate this one simple trick. Order now and get 50% off plus free shipping! This is not a joke!",spam
"TO WHOM IT MAY CONCERN, YOUR PAYPAL ACCOUNT HAS BEEN LIMITED DUE TO SUSPICIOUS ACTIVITY. PLEASE LOG IN THROUGH THE SECURE LINK BELOW TO RESTORE FULL ACCESS. IGNORING THIS NOTICE WILL RESULT IN PERMANENT ACCOUNT CLOSURE. NO CREDIT CARD REQUIRED. CLICK HERE NOW!",spam
ATTENTION! CRITICAL: YOUR SOCIAL SECURITY NUMBER HAS BEEN COMPROMISED! CALL OUR TOLL-FREE NUMBER IMMEDIATELY TO FREEZE YOUR CREDIT. FAILURE TO ACT NOW COULD RESULT IN IDENTITY THEFT! DOCTOR RECOMMENDED. ACT IMMEDIATELY!,spam
Get a FREE laptop today! No purchase necessary. Simply click the link and enter your email to qualify. This exclusive offer is available for a limited time only. As seen on TV. 100% guaranteed!,spam
"Hello, CRITICAL: Your social security number has been compromised! Call our toll-free number immediately to freeze your credit. Failure to act now could result in identity theft!",spam
"Hello, Thank you for your order! Your package has been shipped and is expected to arrive by Thursday. You can track your delivery using the link in your account. If you have any questions, please contact our support team. Talk soon,",ham
"Hey there, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! Regards,",ham
"Dear Valued Member, IMPORTANT: Your Netflix subscription payment failed. Update your billing information now to avoid service interruption. Click here to update your payment method securely. Unsubscribe by clicking here.",spam
"DEAR LUCKY ONE, EARN PASSIVE INCOME OF $3,000 WEEKLY WITH OUR AUTOMATED FOREX SYSTEM. NO TRADING EXPERIENCE REQUIRED. START WITH JUST $50. JOIN OVER 100,000 SUCCESSFUL TRADERS WORLDWIDE! BUY NOW PAY LATER. THIS IS NOT A JOKE!",spam
"Hello everyone, Hey, do you have the notes from yesterday's lecture? I had to leave early for a doctor's appointment. I'd really appreciate it if you could share them. See you at the meeting. Take care,",ham
ATTENTION! GET BIGGER MUSCLES IN JUST 7 DAYS WITH OUR NEW SUPPLEMENT! USED BY PROFESSIONAL ATHLETES WORLDWIDE. BUY 2 BOTTLES GET 1 FREE. NO SIDE EFFECTS GUARANTEED! SEND YOUR BANK DETAILS. LIMITED TIME ONLY!,spam
"Hey there, Hey, did you see the game last night? What an incredible comeback! That last-minute goal was unbelievable. We should watch the next match together at the sports bar. Best regards,",ham
Your monthly subscription has been renewed successfully. The charge of $9.99 has been applied to your credit card. You can manage your subscription settings in your account. Let me know your thoughts.,ham
"Hey there, Thank you for your order! Your package has been shipped and is expected to arrive by Thursday. You can track your delivery using the link in your account. If you have any questions, please contact our support team. Have a great day.",ham
"Dear Customer, Exclusive offer just for you!!! Get 90% off on all luxury handbags. This flash sale ends tonight at midnight. Click here to browse our collection and save big!!! This offer won't last long. Hurry!!!",spam
"Hello, Hi team, just a reminder that we have our weekly standup meeting tomorrow at 10 AM. Please prepare your status updates and any blockers you'd like to discuss. See you all in the conference room. Regards,",ham
Attention! FREE trial of our premium weight loss supplement! Lose 30 pounds in 30 days guaranteed or your money back. Order now and pay only shipping and handling. Don't wait!,spam
"Dear team, Hi all, we're organizing a team building event next Thursday. It'll be an escape room challenge followed by dinner. Please RSVP by Wednesday so I can finalize the reservation.",ham
"Hello, Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Best regards,",ham
"Hello, Hi, I wanted to share this interesting article about sustainable energy. It discusses how solar panel efficiency has improved by 40% in the last decade. Thought you might find it relevant for your research. Talk soon,",ham
"Dear team, Good afternoon. The server migration is scheduled for this Saturday at 2 AM. Expected downtime is approximately 4 hours. I'll send out notifications to all affected users. Take care,",ham
"Hi there, Dear member, our gym will be undergoing renovations starting next month. The pool area will be closed for two weeks but all other facilities remain open. We apologize for any inconvenience. Hope this helps. Best,",ham
"Dear Customer, Congratulations!!! You have been selected as the winner of our international lottery. Click the link below to claim your prize of $1,000,000. This offer expires in 24 hours so act fast!!! Click here now!!!",spam
"ATTENTION! BREAKTHROUGH: SCIENTISTS DISCOVER MIRACLE CURE FOR BALDNESS! REGROW A FULL HEAD OF HAIR IN JUST 2 WEEKS. ORDER YOUR FREE TRIAL BOTTLE TODAY, JUST PAY SHIPPING! CALL OUR TOLL-FREE NUMBER NOW.",spam
FINAL WARNING: YOUR COMPUTER HAS BEEN INFECTED WITH 47 VIRUSES!!! DOWNLOAD OUR SECURITY SOFTWARE IMMEDIATELY TO PROTECT YOUR DATA. CLICK HERE FOR A FREE EMERGENCY SCAN RIGHT NOW!!! GUARANTEED RESULTS. REPLY ASAP!!! $?,spam
"Hey there, Hi, I've completed the code review for the API endpoints. Overall it looks great, just a few minor suggestions in the comments. Nice work on the error handling! Let's discuss this further. See you soon,",ham
"Hello everyone, Good morning everyone. The quarterly report is ready for review. I've attached the PDF to this email. Please share your feedback by Friday end of day. Thanks for your time. Best regards,",ham
"Greetings! CONGRATULATIONS! You've been chosen to receive a brand new iPhone 15 Pro Max absolutely FREE! Just complete a short survey and provide your shipping address. Hurry, only 10 units left! Hurry!",spam
"Dear Lucky One, Buy discount medications online! Up to 80% off on all prescriptions. No prescription needed. Fast discreet shipping worldwide. Order now and get free bonus pills! This is not a joke!",spam
"Hi, Thanks for your help with the client presentation yesterday. The client was really impressed with the demo. They've scheduled a follow-up meeting for next Tuesday. Regards,",ham
"Congratulations!!! You have been selected as the winner of our international lottery. Click the link below to claim your prize of $1,000,000. This offer expires in 24 hours so act fast!!! 100% guaranteed!!!",spam
"Dear member, our gym will be undergoing renovations starting next month. The pool area will be closed for two weeks but all other facilities remain open. We apologize for any inconvenience. Let's discuss this further. Regards,",ham
"Hey there, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! Thanks,",ham
